City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Georgetown,MY,86.0,few clouds,5.41,100.34,Cititel Penang
3,Dingle,PH,76.68,overcast clouds,11.0,122.67,Camp Pasica
5,Mogadishu,SO,82.4,broken clouds,2.04,45.34,Hotel Juba
7,Omboue,GA,77.76,overcast clouds,-1.57,9.26,Hotel Olako
11,Cururupu,BR,86.11,broken clouds,-1.83,-44.87,Pousada Través'cia
24,Shimoda,JP,75.0,clear sky,34.67,138.95,Shimoda Tokyu Hotel
25,Alvaraes,BR,78.8,scattered clouds,-3.22,-64.8,Av. Castelo Branco. Ginásio Ermelino vieira.
28,Arraial Do Cabo,BR,77.0,clear sky,-22.97,-42.03,Pousada Porto Praia
29,Zonguldak,TR,86.0,clear sky,41.25,31.83,Süleyman Tez Ev
31,Baracoa,CU,83.34,broken clouds,20.35,-74.5,Hostal Rio Miel
36,Katherine,AU,78.8,broken clouds,-14.47,132.27,Pine Tree Motel
37,Shelburne,CA,73.99,broken clouds,44.08,-80.2,The Retreat at the Farm
42,Hilo,US,71.6,light rain,19.73,-155.09,Hilo Hawaiian Hotel
43,Quelimane,MZ,87.01,scattered clouds,-17.88,36.89,Hotel Flamingo
46,Saint-Francois,FR,73.4,scattered clouds,46.42,3.91,Manoir Du Bonheur
47,Ilhabela,BR,79.43,clear sky,-23.78,-45.36,Ilha Flat Hotel
49,Saint-Pierre,RE,73.4,few clouds,-21.34,55.48,Lindsey Hôtel
50,Del Rio,US,84.2,clear sky,29.36,-100.9,Holiday Inn Express & Suites del Rio
52,Teahupoo,PF,73.4,few clouds,-17.83,-149.27,Vanira Lodge
58,Sidrolandia,BR,86.0,clear sky,-20.93,-54.96,hotel cisne azul
59,Havelock,US,87.01,clear sky,34.88,-76.9,Sherwood Motel
61,Avarua,CK,71.6,clear sky,-21.21,-159.78,Paradise Inn
62,Atuona,PF,78.21,light rain,-9.8,-139.03,Villa Enata
64,Guerrero Negro,MX,75.27,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
66,Jamestown,US,73.0,moderate rain,42.1,-79.24,Hampton Inn & Suites Jamestown
71,Karratha,AU,77.97,clear sky,-20.74,116.85,ibis Styles Karratha
76,Kapaa,US,72.0,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
79,Vaini,TO,73.4,few clouds,-21.2,-175.2,Keleti Beach Resort
82,Cayenne,GF,82.4,overcast clouds,4.93,-52.33,Hôtel Le Dronmi
84,Tutoia,BR,88.38,few clouds,-2.76,-42.27,Pousada Guará's
88,Vila Velha,BR,78.8,broken clouds,-20.33,-40.29,Hotel Vitória Palace
89,Les Cayes,HT,85.62,clear sky,18.2,-73.75,Villa Orphee
95,Victoria,HK,87.01,clear sky,22.29,114.16,Mini Hotel Central
96,Kahului,US,77.0,few clouds,20.89,-156.47,Maui Seaside Hotel
97,Mahebourg,MU,71.6,shower rain,-20.41,57.7,Le Peninsula Bay Beach Resort & Spa
98,Kavieng,PG,81.37,scattered clouds,-2.57,150.8,Nusa Island Retreat
100,Kawanoe,JP,84.99,clear sky,34.02,133.57,Hotel Select Inn Shikokuchuo
105,Hithadhoo,MV,82.8,overcast clouds,-0.6,73.08,Scoop Guest House
106,Palera,IN,77.61,few clouds,25.02,79.23,GBR
107,Marawi,PH,75.99,light rain,8.0,124.29,Salihmaruhom
115,Namatanai,PG,79.54,broken clouds,-3.67,152.43,Namatanai Hotel
122,Ghatsila,IN,83.66,scattered clouds,22.6,86.48,VISHAL HOTEL
123,Ambilobe,MG,82.81,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
124,Bathsheba,BB,82.4,shower rain,13.22,-59.52,Atlantis Hotel
125,Paka,MY,82.4,light rain,4.64,103.44,Rumbia Resort Villa Paka Terengganu
127,Zhuhai,CN,90.0,few clouds,22.28,113.57,珠海粤财假日酒店
131,Saint-Philippe,RE,73.4,light rain,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
134,Martorell,ES,75.99,scattered clouds,41.47,1.93,ibis budget Barcelona Sant Andreu de la Barca
140,Naze,JP,84.2,broken clouds,28.37,129.48,奄美ポートタワーホテル
142,Pangai,TO,76.42,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
143,Port Blair,IN,83.12,broken clouds,11.67,92.75,Fortune Resort Bay Island
144,San Patricio,MX,77.47,broken clouds,19.22,-104.7,Hotel Cabo Blanco
146,Mananjary,MG,74.3,clear sky,-21.22,48.33,Vahiny Lodge
147,Banda Aceh,ID,81.54,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
148,Hobyo,SO,80.58,clear sky,5.35,48.53,Osmani Hotel
152,Pumiao,CN,84.2,clear sky,22.75,108.48,Mushang Boutique Hotel
153,Shache,CN,73.89,clear sky,38.42,77.24,Delong Hotel
155,Inhambane,MZ,78.01,broken clouds,-23.86,35.38,Oceano
156,Daru,PG,77.74,light rain,-9.08,143.21,New century hotel
160,Puerto Ayacucho,VE,82.4,scattered clouds,5.66,-67.62,Posada Turistica Manapiare
