City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dikson,RU,73.51,80.55,45.61,96,100,6.98,overcast clouds
1,Georgetown,MY,5.41,100.34,86.0,66,20,4.7,few clouds
2,Norman Wells,CA,65.28,-126.83,33.8,71,20,5.82,few clouds
3,Dingle,PH,11.0,122.67,76.68,87,100,2.62,overcast clouds
4,Fowa,NG,8.92,6.4,84.07,67,95,5.79,overcast clouds
5,Mogadishu,SO,2.04,45.34,82.4,65,75,16.11,broken clouds
6,Ushuaia,AR,-54.8,-68.3,28.4,92,90,5.82,snow
7,Omboue,GA,-1.57,9.26,77.76,77,99,12.17,overcast clouds
8,Punta Arenas,CL,-53.15,-70.92,37.0,77,75,21.92,light intensity shower rain
9,Bredasdorp,ZA,-34.53,20.04,51.8,50,98,8.05,overcast clouds
10,Iqaluit,CA,63.75,-68.51,50.0,76,75,19.46,broken clouds
11,Cururupu,BR,-1.83,-44.87,86.11,62,83,10.33,broken clouds
12,Hobart,AU,-42.88,147.33,55.0,71,96,6.93,overcast clouds
13,Lompoc,US,34.64,-120.46,55.4,93,90,4.7,overcast clouds
14,Lebu,CL,-37.62,-73.65,45.23,62,2,14.41,clear sky
15,Kruisfontein,ZA,-34.0,24.73,54.0,64,35,15.01,scattered clouds
16,Belle Fourche,US,44.67,-103.85,60.01,58,1,3.24,clear sky
17,Kodiak,US,57.79,-152.41,50.0,87,1,4.7,clear sky
18,Sault Sainte Marie,CA,46.52,-84.33,64.4,82,90,6.93,overcast clouds
19,Shuyskoye,RU,59.37,41.03,60.6,91,41,9.08,light rain
20,Roald,NO,62.58,6.13,55.99,71,75,13.87,broken clouds
21,Bluff,NZ,-46.6,168.33,45.0,72,100,11.01,light rain
22,Te Anau,NZ,-45.42,167.72,47.84,83,100,8.39,overcast clouds
23,Albany,US,42.6,-73.97,70.0,92,100,5.99,overcast clouds
24,Shimoda,JP,34.67,138.95,75.0,93,0,1.01,clear sky
25,Alvaraes,BR,-3.22,-64.8,78.8,94,40,4.7,scattered clouds
26,Cape Town,ZA,-33.93,18.42,54.0,54,75,19.46,broken clouds
27,La Paz,BO,-16.5,-68.15,50.0,23,54,4.7,broken clouds
28,Arraial Do Cabo,BR,-22.97,-42.03,77.0,69,0,19.46,clear sky
29,Zonguldak,TR,41.25,31.83,86.0,37,0,13.87,clear sky
30,Mount Isa,AU,-20.73,139.5,57.2,33,0,6.93,clear sky
31,Baracoa,CU,20.35,-74.5,83.34,79,70,7.11,broken clouds
32,Khatanga,RU,71.97,102.5,53.73,64,97,8.66,overcast clouds
33,North Bend,US,43.41,-124.22,57.99,93,40,11.41,scattered clouds
34,Geraldton,AU,-28.77,114.6,50.0,87,0,8.05,clear sky
35,Pacific Grove,US,36.62,-121.92,59.0,82,90,3.24,overcast clouds
36,Katherine,AU,-14.47,132.27,78.8,41,56,11.41,broken clouds
37,Shelburne,CA,44.08,-80.2,73.99,78,75,6.93,broken clouds
38,Ahipara,NZ,-35.17,173.17,51.48,86,0,3.53,clear sky
39,Comodoro Rivadavia,AR,-45.87,-67.5,37.4,44,0,16.11,clear sky
40,Huarmey,PE,-10.07,-78.15,64.2,77,80,6.89,broken clouds
41,Kununurra,AU,-15.77,128.73,64.4,21,0,2.24,clear sky
42,Hilo,US,19.73,-155.09,71.6,83,75,4.7,light rain
43,Quelimane,MZ,-17.88,36.89,87.01,58,43,9.17,scattered clouds
44,Busselton,AU,-33.65,115.33,46.0,63,0,7.11,clear sky
45,New Norfolk,AU,-42.78,147.06,52.0,60,73,3.51,broken clouds
46,Saint-Francois,FR,46.42,3.91,73.4,40,30,4.7,scattered clouds
47,Ilhabela,BR,-23.78,-45.36,79.43,57,0,3.02,clear sky
48,Carnarvon,AU,-24.87,113.63,64.4,77,0,17.22,clear sky
49,Saint-Pierre,RE,-21.34,55.48,73.4,69,14,17.22,few clouds
50,Del Rio,US,29.36,-100.9,84.2,66,1,9.17,clear sky
51,Yellowknife,CA,62.46,-114.35,46.4,100,90,16.11,light rain
52,Teahupoo,PF,-17.83,-149.27,73.4,83,20,3.36,few clouds
53,Mataura,NZ,-46.19,168.86,45.0,72,100,11.01,overcast clouds
54,Adrar,MR,20.5,-10.07,107.46,7,0,16.75,clear sky
55,East London,ZA,-33.02,27.91,59.0,67,20,26.4,few clouds
56,Traiguen,CL,-38.25,-72.68,40.1,81,5,4.47,clear sky
57,Tommot,RU,58.96,126.29,55.15,60,100,4.54,overcast clouds
58,Sidrolandia,BR,-20.93,-54.96,86.0,25,0,16.11,clear sky
59,Havelock,US,34.88,-76.9,87.01,74,1,10.29,clear sky
60,Hay River,CA,60.82,-115.8,48.2,100,90,4.7,fog
61,Avarua,CK,-21.21,-159.78,71.6,83,3,11.41,clear sky
62,Atuona,PF,-9.8,-139.03,78.21,80,16,19.66,light rain
63,Anchorage,US,61.22,-149.9,51.8,70,1,4.7,clear sky
